flowStartMilliseconds,sourceIPAddress,destinationIPAddress,sourceTransportPort,destinationTransportPort,Binary_Label,Attack_Type_enc
1619932200058,190.185.223.127,133.227.42.170,54846,445,0,Normal
1619932200059,205.9.2.163,133.227.48.121,34094,5683,0,Normal
1619932200047,133.215.3.202,13.148.72.69,35146,443,0,Normal
1619932200060,111.197.104.148,202.25.82.174,14234,8221,0,Normal
1619932200061,104.248.148.210,202.25.82.162,37036,15430,0,Normal
1619932200061,104.248.148.210,202.25.83.120,57902,15430,0,Normal
1619932200061,104.207.170.228,163.93.4.69,50614,123,0,Normal
1619932200061,111.197.104.148,202.25.82.174,54008,8221,0,Normal
1619932200062,104.248.148.210,202.25.82.251,58848,15430,0,Normal
1619932200062,159.70.101.217,203.5.160.215,11766,8080,0,Normal
1619932200062,69.17.171.131,133.52.115.76,5001,23,0,Normal
1619932200063,192.249.218.19,163.93.22.59,43136,5632,0,Normal
1619932200063,133.245.138.114,142.177.234.148,57294,443,0,Normal
1619932200063,172.100.47.249,133.227.156.53,54057,50348,0,Normal
1619932200063,192.249.218.19,163.93.114.224,51471,5632,0,Normal
1619932200064,50.255.180.230,133.227.7.147,48837,445,0,Normal
1619932200064,203.5.180.161,51.194.41.108,1194,17144,0,Normal
1619932200064,203.5.180.161,51.194.41.108,1194,48312,0,Normal
1619932200064,169.17.250.6,133.52.7.59,27199,658,0,Normal
1619932200064,203.5.180.161,74.136.201.204,1194,11285,0,Normal
1619932200065,203.5.180.161,75.239.106.242,1194,35639,0,Normal
1619932200065,170.7.80.127,202.7.182.86,10153,1006,0,Normal
1619932200065,203.5.180.161,101.91.66.165,1194,30533,0,Normal
1619932200065,192.249.218.19,163.93.140.193,40535,5632,0,Normal
1619932200065,45.73.232.3,133.52.79.169,15523,648,0,Normal
1619932200066,119.133.32.168,163.93.176.89,1900,8083,0,Normal
1619932200066,88.88.154.185,163.93.128.223,30510,53,0,Normal
1619932200060,187.64.69.120,202.134.235.180,4830,53,0,Normal
1619932200067,192.249.218.19,163.93.246.21,42766,5632,0,Normal
1619932200067,187.64.69.120,203.5.182.203,52849,53,0,Normal
1619932200067,23.65.108.242,163.93.46.170,58220,3478,0,Normal
1619932200067,192.249.218.19,163.93.233.204,55160,5632,0,Normal
1619932200068,216.84.51.221,133.227.19.98,57168,1434,0,Normal
1619932200068,133.245.77.227,98.55.65.201,1194,37537,0,Normal
1619932200068,23.65.108.242,133.52.170.151,57440,3478,0,Normal
1619932200068,203.119.176.72,163.93.185.17,43713,5555,0,Normal
1619932200070,165.154.161.165,202.25.85.7,57200,35786,0,Normal
1619932200070,64.21.176.189,203.5.254.63,40270,791,0,Normal
1619932200070,165.154.161.165,202.25.85.67,37460,35786,0,Normal
1619932200071,146.72.239.203,133.227.134.19,1901,1900,0,Normal
1619932200071,146.72.239.203,163.93.251.15,1901,1900,0,Normal
1619932200071,165.154.161.165,202.25.83.25,36652,35786,0,Normal
1619932200071,165.154.161.165,202.25.82.235,44524,35786,0,Normal
1619932200071,165.154.161.165,202.25.85.43,53230,35786,0,Normal
1619932200072,165.154.161.165,202.25.83.135,49666,35786,0,Normal
1619932200072,66.83.100.70,163.93.44.21,47089,23,0,Normal
1619932200072,103.11.121.117,203.5.188.77,38709,84,0,Normal
1619932200072,180.229.0.143,203.5.144.127,22235,7777,0,Normal
1619932200073,113.125.244.152,133.227.158.202,19594,1780,0,Normal
1619932200073,113.179.69.97,133.227.158.202,10859,50356,0,Normal
1619932200073,192.249.218.19,163.93.80.73,44392,5632,0,Normal
1619932200074,159.70.101.217,163.93.84.28,11766,8082,0,Normal
1619932200074,192.249.218.19,163.93.190.8,55521,5632,0,Normal
1619932200074,103.63.148.19,163.93.47.211,54002,8080,0,Normal
1619932200075,89.218.113.219,133.52.197.38,4040,5060,0,Normal
1619932200075,165.154.161.165,202.25.85.167,59188,35786,0,Normal
1619932200075,165.154.161.165,202.25.83.162,41298,35786,0,Normal
1619932200076,146.72.239.203,133.52.147.27,1901,1900,0,Normal
1619932200076,203.5.189.16,115.196.209.177,0,2048,0,Normal
1619932200076,165.154.161.165,202.25.82.168,52948,35786,0,Normal
1619932200076,165.154.161.165,202.25.85.252,37666,35786,0,Normal
1619932200076,165.154.161.165,202.25.83.202,49082,35786,0,Normal
1619932200077,47.102.51.92,133.227.143.69,47998,11211,0,Normal
1619932200077,165.154.161.165,202.25.85.95,36738,35786,0,Normal
1619932200077,23.65.108.242,133.52.162.118,40202,3478,0,Normal
1619932200077,165.154.161.165,202.25.83.219,57816,35786,0,Normal
1619932200077,175.34.214.43,133.227.166.33,23984,23,0,Normal
1619932200077,133.245.32.50,82.166.239.215,22,33959,0,Normal
1619932200056,187.64.69.120,202.134.217.69,18594,53,0,Normal
1619932200078,146.72.239.203,133.227.37.208,1901,1900,0,Normal
1619932200079,69.85.225.38,163.93.22.83,443,24126,0,Normal
1619932200079,221.185.45.13,163.93.216.121,0,2048,0,Normal
1619932200079,149.200.25.158,133.52.135.201,1337,2320,0,Normal
1619932200080,147.42.2.107,203.5.160.41,34619,123,0,Normal
1619932200080,146.72.239.203,133.227.0.138,1901,1900,0,Normal
1619932200080,202.143.247.173,207.61.134.155,58600,53,0,Normal
1619932200080,162.195.95.236,133.227.46.186,37423,999,0,Normal
1619932200080,149.33.189.177,203.5.255.222,4911,23,0,Normal
1619932200081,192.249.218.19,163.93.189.204,59277,5632,0,Normal
1619932200081,221.216.104.218,203.5.253.197,48814,23,0,Normal
1619932200081,147.42.2.107,133.52.79.103,47064,123,0,Normal
1619932200081,60.164.112.79,133.52.159.59,1027,8080,0,Normal
1619932200082,111.197.104.191,202.25.83.138,17468,8483,0,Normal
1619932200082,187.246.176.166,133.52.151.115,64492,23,0,Normal
1619932200083,149.200.25.158,133.52.177.173,1337,47993,0,Normal
1619932200083,186.124.183.0,163.93.141.186,21418,23,0,Normal
1619932200084,72.25.103.174,133.52.143.186,443,60713,0,Normal
1619932200075,153.117.106.95,203.5.183.212,48610,80,0,Normal
1619932200085,203.5.189.16,174.238.136.62,0,2048,0,Normal
1619932200086,121.40.210.86,202.134.246.116,46217,28442,0,Normal
1619932200086,163.93.72.93,204.173.198.112,29842,53,0,Normal
1619932200086,190.209.196.120,202.7.182.4,7296,79,0,Normal
1619932200077,153.117.106.95,203.5.183.212,48622,80,0,Normal
1619932200087,216.84.51.217,133.227.51.57,53370,1434,0,Normal
1619932200088,5.240.84.114,203.5.180.171,53168,22,0,Normal
1619932200088,159.94.72.157,163.93.72.120,47767,3478,0,Normal
1619932200089,172.82.240.244,163.93.124.119,43113,1900,0,Normal
1619932200090,118.190.249.59,202.25.82.253,33532,445,0,Normal
1619932200090,199.164.6.144,133.52.126.61,65315,23,0,Normal
1619932200090,198.2.227.203,163.93.72.94,53,51261,0,Normal
1619932200090,37.197.105.201,133.52.25.96,31367,7547,0,Normal
1619932200091,146.72.239.203,133.52.118.59,1901,1900,0,Normal
1619932200092,27.221.26.27,133.52.195.162,44650,23,0,Normal
1619932200093,185.78.215.235,133.52.231.202,1101,8083,0,Normal
1619932200087,187.64.69.120,202.134.235.180,22697,53,0,Normal
1619932200093,123.47.92.89,163.93.40.81,65313,23,0,Normal
1619932200074,153.117.106.95,203.5.185.175,45308,80,0,Normal
1619932200094,146.72.239.203,163.93.171.194,1901,1900,0,Normal
1619932200095,37.147.87.69,133.52.242.217,36799,23,0,Normal
1619932200095,192.249.218.19,163.93.180.111,39037,5632,0,Normal
1619932200095,66.103.92.35,133.52.227.59,80,61826,0,Normal
1619932200095,67.209.165.152,133.52.162.92,32801,41460,0,Normal
1619932200095,192.249.218.19,163.93.153.41,49121,5632,0,Normal
1619932200096,163.93.72.120,159.94.72.157,0,771,0,Normal
1619932200096,47.124.103.116,133.227.175.17,35632,8088,0,Normal
1619932200096,192.249.218.19,163.93.182.16,36303,5632,0,Normal
1619932200097,204.72.1.51,133.227.14.219,43614,378,0,Normal
1619932200098,121.230.158.56,133.52.4.164,7718,23,0,Normal
1619932200098,103.209.133.160,133.227.184.34,47317,1433,0,Normal
1619932200098,119.18.240.25,163.93.15.105,44162,1433,0,Normal
1619932200098,133.245.77.227,51.194.41.108,1194,29360,0,Normal
1619932200098,133.245.77.227,74.136.201.204,1194,58189,0,Normal
1619932200098,133.245.77.227,98.55.65.201,1194,3938,0,Normal
1619932200098,180.229.0.228,203.5.209.142,14191,7777,0,Normal
1619932200078,153.117.106.95,203.5.185.175,45326,80,0,Normal
1619932200099,111.197.104.150,202.25.82.44,58874,8006,0,Normal
1619932200100,147.42.2.107,203.5.252.194,52431,123,0,Normal
1619932200100,162.162.133.179,133.227.35.96,35446,48914,0,Normal
1619932200100,205.9.10.105,133.227.47.51,45906,6881,0,Normal
1619932200100,95.97.58.181,163.93.115.86,5334,23,0,Normal
1619932200100,203.5.185.81,205.9.2.163,0,771,0,Normal
1619932200101,23.65.108.242,133.52.58.236,55753,3478,0,Normal
1619932200101,88.95.116.23,202.134.216.134,14062,23,0,Normal
1619932200101,146.72.239.203,163.93.28.169,1901,1900,0,Normal
1619932200101,47.105.185.187,133.52.110.201,54842,1433,0,Normal
1619932200101,139.4.203.74,202.25.83.92,60992,13689,0,Normal
1619932200052,91.228.161.67,163.93.238.48,8883,58655,0,Normal
1619932200102,146.72.239.203,133.227.138.42,1901,1900,0,Normal
1619932200103,111.197.104.150,202.25.83.37,44380,8644,0,Normal
1619932200103,199.164.3.149,133.227.27.222,39093,123,0,Normal
1619932200103,37.44.227.169,163.93.166.50,5060,1027,0,Normal
1619932200104,139.4.203.74,202.25.83.8,51104,13689,0,Normal
1619932200104,78.108.157.175,133.52.222.152,31677,5555,0,Normal
1619932200101,203.5.184.122,157.72.232.234,65254,53,0,Normal
1619932200104,154.110.211.43,133.52.167.159,38150,23,0,Normal
1619932200104,203.5.190.141,190.209.196.120,0,769,0,Normal
1619932200105,115.12.240.195,133.227.191.202,11527,23,0,Normal
1619932200105,192.249.218.19,163.93.16.136,38512,5632,0,Normal
1619932200105,198.68.195.237,133.227.36.226,40658,937,0,Normal
1619932200104,133.245.112.125,109.237.126.233,587,53155,0,Normal
1619932200106,74.20.20.74,203.5.147.111,33684,708,0,Normal
1619932200106,144.122.127.235,202.25.85.41,4622,445,0,Normal
1619932200107,86.114.24.195,133.52.82.135,49515,2323,0,Normal
1619932200107,212.184.109.73,203.5.179.188,61172,25,0,Normal
1619932200107,162.234.14.11,133.227.138.79,58822,22,0,Normal
1619932200107,149.200.25.158,203.5.159.91,1337,39944,0,Normal
1619932200107,212.88.237.223,203.5.246.136,60477,23,0,Normal
1619932200107,162.254.39.110,133.227.142.89,443,29793,0,Normal
1619932200107,192.249.218.19,163.93.199.115,52818,5632,0,Normal
1619932200108,216.108.119.145,133.227.143.16,13402,280,0,Normal
1619932200109,167.100.121.208,202.25.85.202,40078,902,0,Normal
1619932200109,61.11.135.6,163.93.140.113,62029,4000,0,Normal
1619932200110,103.90.63.238,203.5.214.69,42834,80,0,Normal
1619932200110,180.219.216.200,202.134.210.12,26040,5060,0,Normal
1619932200111,192.249.218.19,163.93.45.70,43946,5632,0,Normal
1619932200111,38.133.66.229,203.5.189.16,0,2816,0,Normal
1619932200043,91.228.162.83,163.93.140.251,8883,49196,0,Normal
1619932200111,23.65.108.242,202.134.192.189,37361,3478,0,Normal
1619932200111,95.186.171.240,133.52.60.148,60266,8081,0,Normal
1619932200112,146.72.239.203,203.5.224.238,1901,1900,0,Normal
1619932200112,187.164.56.249,203.5.186.240,50965,445,0,Normal
1619932200113,146.72.239.203,203.5.221.240,1901,1900,0,Normal
1619932200113,110.237.164.49,203.5.173.123,47203,1433,0,Normal
1619932200114,146.72.239.203,133.52.137.253,1901,1900,0,Normal
1619932200114,163.93.73.219,204.173.198.112,20359,53,0,Normal
1619932200115,133.245.114.110,205.123.198.26,56953,53,0,Normal
1619932200085,187.64.69.120,202.134.217.69,11156,53,0,Normal
1619932200116,104.250.231.110,133.52.43.16,31300,659,0,Normal
1619932200117,5.240.194.50,133.227.156.44,16396,17928,0,Normal
1619932200110,185.193.155.121,163.93.123.241,23716,443,0,Normal
1619932200117,159.70.180.4,133.227.23.47,35453,37810,0,Normal
1619932200118,75.45.28.180,133.227.158.178,57249,50348,0,Normal
1619932200118,139.4.175.125,202.25.82.71,55634,902,0,Normal
1619932200118,133.245.77.227,101.91.66.165,1194,11642,0,Normal
1619932200119,23.67.195.209,133.227.141.106,4386,1019,0,Normal
1619932200119,192.249.218.19,163.93.250.139,52356,5632,0,Normal
1619932200119,150.110.116.16,133.227.16.6,51638,7145,0,Normal
1619932200108,104.60.7.80,163.93.135.226,80,49536,0,Normal
1619932200120,192.249.218.19,163.93.218.130,58748,5632,0,Normal
1619932200121,79.53.254.90,163.93.218.85,50301,23,0,Normal
1619932200121,36.10.41.11,163.93.6.92,55643,53,0,Normal
1619932200122,180.229.0.46,202.134.250.49,21130,7777,0,Normal
1619932200123,205.9.2.163,133.227.33.161,37673,5683,0,Normal
1619932200123,111.197.104.191,202.25.85.24,17824,8026,0,Normal
1619932200124,125.180.251.74,133.52.36.188,11606,23,0,Normal
1619932200124,163.93.212.89,13.148.186.91,64026,443,0,Normal
1619932200124,163.93.212.89,13.148.155.151,64025,443,0,Normal
1619932200124,163.93.212.89,52.146.204.67,64028,443,0,Normal
1619932200125,88.158.17.51,133.52.118.60,13923,23,0,Normal
1619932200125,163.93.212.89,52.146.204.68,64030,443,0,Normal
1619932200123,163.93.73.238,205.123.192.74,29366,53,0,Normal
1619932200125,114.26.36.74,133.227.54.225,38968,23,0,Normal
1619932200126,66.103.92.35,133.227.131.50,80,47415,0,Normal
1619932200127,146.72.239.203,133.52.244.54,1901,1900,0,Normal
1619932200127,203.5.180.161,24.49.102.222,1194,27996,0,Normal
1619932200127,203.5.180.161,24.49.102.222,1194,31274,0,Normal
1619932200119,62.35.109.171,203.5.184.102,44614,53,0,Normal
1619932200127,203.5.180.161,74.136.201.204,1194,17484,0,Normal
1619932200127,203.5.180.161,74.136.201.204,1194,29779,0,Normal
1619932200128,192.249.218.19,163.93.184.250,56979,5632,0,Normal
1619932200128,203.5.180.161,75.239.106.242,1194,48776,0,Normal
1619932200128,162.177.125.132,202.25.82.53,34906,16000,0,Normal
1619932200128,149.200.25.158,163.93.214.244,1337,38050,0,Normal
1619932200128,198.1.42.198,133.227.175.222,37820,69,0,Normal
1619932200129,116.218.39.241,203.5.206.57,45230,1433,0,Normal
1619932200129,89.218.113.219,163.93.192.191,4040,5060,0,Normal
1619932200130,202.77.94.72,133.227.137.92,35038,593,0,Normal
1619932200118,133.215.3.202,13.148.72.69,35102,443,0,Normal
1619932200130,86.48.236.130,133.52.20.17,4746,8080,0,Normal
1619932200130,190.80.38.63,203.5.183.212,31054,80,0,Normal
1619932200131,192.249.218.19,163.93.196.15,53169,5632,0,Normal
1619932200131,179.210.104.165,133.227.191.38,59398,17,0,Normal
1619932200132,192.249.218.19,163.93.208.23,37436,5632,0,Normal
1619932200132,200.86.126.62,133.227.35.119,44592,8082,0,Normal
1619932200132,157.39.225.57,163.93.237.189,50190,5900,0,Normal
1619932200133,146.72.239.203,133.227.6.168,1901,1900,0,Normal
1619932200133,23.65.108.242,163.93.148.171,34728,3478,0,Normal
1619932200134,205.9.10.105,133.227.19.241,48077,6881,0,Normal
1619932200134,183.226.5.223,163.93.159.159,11211,5060,0,Normal
1619932200134,209.199.109.159,202.25.83.195,2752,445,0,Normal
1619932200135,66.103.92.35,133.227.3.49,80,15239,0,Normal
1619932200137,149.200.25.158,163.93.9.98,1337,50682,0,Normal
1619932200137,172.95.230.115,133.52.205.189,64327,446,0,Normal
1619932200137,35.95.28.104,133.52.12.83,80,1234,0,Normal
1619932200138,192.249.218.19,163.93.141.56,42654,5632,0,Normal
1619932200139,163.93.169.35,13.148.155.140,52642,443,0,Normal
1619932200140,133.245.138.246,52.177.215.183,56257,443,0,Normal
1619932200140,193.169.126.77,133.52.211.4,5060,5060,0,Normal
1619932200141,86.5.238.65,203.5.174.36,1114,23,0,Normal
1619932200142,36.10.41.11,133.52.65.40,55643,53,0,Normal
1619932200143,115.2.180.72,163.93.41.141,32413,23,0,Normal
1619932200143,146.72.239.203,133.52.224.231,1901,1900,0,Normal
1619932200143,146.72.239.203,163.93.120.196,1901,1900,0,Normal
1619932200144,192.249.218.19,163.93.226.32,39734,5632,0,Normal
1619932200144,91.165.89.174,133.52.27.14,39526,1900,0,Normal
1619932200144,192.249.218.19,163.93.173.41,49017,5632,0,Normal
1619932200144,192.249.218.19,163.93.35.36,60222,5632,0,Normal
1619932200144,49.178.70.84,133.52.135.9,32142,23,0,Normal
1619932200145,172.82.240.244,203.5.137.72,34123,1900,0,Normal
1619932200145,105.44.26.225,163.93.184.129,45516,8080,0,Normal
1619932200146,116.19.228.231,133.52.50.144,28001,8090,0,Normal
1619932200146,117.88.3.60,202.134.255.4,11232,23,0,Normal
1619932200146,203.5.189.16,64.31.47.194,0,2048,0,Normal
1619932200147,160.34.108.161,202.134.254.171,44018,111,0,Normal
1619932200147,14.200.1.117,202.134.193.247,7901,23,0,Normal
1619932200147,138.201.98.92,163.93.223.224,22,31859,0,Normal
1619932200148,35.95.28.104,202.134.202.172,80,1234,0,Normal
1619932200148,146.72.239.203,163.93.240.149,1901,1900,0,Normal
1619932200148,62.35.109.171,133.227.62.186,43370,53,0,Normal
1619932200148,178.236.236.97,163.93.189.74,43555,80,0,Normal
1619932200149,185.46.20.47,163.93.66.198,34035,2323,0,Normal
1619932200149,183.0.158.185,203.5.161.9,53548,1433,0,Normal
1619932200149,99.188.212.90,133.52.23.186,3721,912,0,Normal
1619932200149,23.65.108.242,133.52.1.197,48847,3478,0,Normal
1619932200106,115.86.27.90,203.5.185.175,49320,80,0,Normal
1619932200151,192.249.218.19,163.93.8.7,48791,5632,0,Normal
1619932200151,35.95.28.104,133.227.187.181,80,1234,0,Normal
1619932200151,150.212.182.170,133.227.36.21,53968,1433,0,Normal
1619932200152,195.20.116.109,202.7.182.171,25335,979,0,Normal
1619932200152,202.91.132.38,202.25.83.186,50508,445,0,Normal
1619932200153,82.191.116.111,163.93.49.164,61589,23,0,Normal
1619932200146,13.27.159.155,203.5.180.145,443,48694,0,Normal
1619932200153,220.25.149.226,133.52.208.255,43419,23,0,Normal
1619932200153,62.35.109.171,133.227.62.186,9168,53,0,Normal
1619932200155,82.167.70.127,133.52.128.138,59865,23,0,Normal
1619932200155,72.25.103.174,133.227.53.80,443,25550,0,Normal
1619932200143,125.99.223.76,203.5.184.109,65016,23,0,Normal
1619932200155,23.65.108.242,202.134.244.128,54416,3478,0,Normal
1619932200155,146.72.239.203,202.134.240.31,1901,1900,0,Normal
1619932200156,146.72.239.203,133.52.93.252,1901,1900,0,Normal
1619932200156,146.179.245.119,203.5.221.173,47011,877,0,Normal
1619932200147,62.35.109.171,133.227.62.6,29117,53,0,Normal
1619932200157,146.72.239.203,133.227.60.103,1901,1900,0,Normal
1619932200157,192.249.218.19,163.93.141.29,60384,5632,0,Normal
1619932200158,64.173.127.36,133.52.38.220,5293,163,0,Normal
1619932200159,111.197.104.139,202.25.85.55,45838,1000,0,Normal
1619932200159,149.200.25.158,163.93.180.224,1337,19334,0,Normal
1619932200160,133.245.77.227,74.136.201.204,1194,47688,0,Normal
1619932200153,72.25.103.174,163.93.8.71,443,53989,0,Normal
1619932200161,146.4.103.203,133.52.70.244,49301,7443,0,Normal
1619932200161,123.198.211.18,163.93.124.191,10439,6380,0,Normal
1619932200161,149.200.25.158,133.52.227.109,1337,64825,0,Normal
1619932200161,103.19.149.141,203.5.247.211,31825,550,0,Normal
1619932200162,209.210.209.33,133.227.20.53,34440,111,0,Normal
1619932200162,71.204.224.9,203.5.183.212,0,2048,0,Normal
1619932200162,193.122.114.189,133.52.75.177,22240,8888,0,Normal
1619932200163,146.72.239.203,133.52.126.244,1901,1900,0,Normal
1619932200053,123.176.209.24,203.5.185.25,49012,22,0,Normal
1619932200163,195.61.218.104,133.52.211.137,37376,396,0,Normal
1619932200163,202.134.239.242,195.63.190.249,0,2816,0,Normal
1619932200163,180.229.0.138,163.93.234.46,42242,7777,0,Normal
1619932200163,23.65.108.242,163.93.121.245,35781,3478,0,Normal
1619932200163,37.44.227.169,163.93.19.163,5060,1900,0,Normal
1619932200163,46.72.121.237,133.52.33.59,58462,8080,0,Normal
1619932200164,113.31.88.167,133.227.156.53,41291,1772,0,Normal
1619932200164,192.249.218.19,163.93.15.183,48410,5632,0,Normal
1619932200164,146.72.239.203,133.227.46.230,1901,1900,0,Normal
1619932200164,203.5.183.212,71.204.224.9,0,0,0,Normal
1619932200165,54.224.149.97,163.93.123.241,28810,443,0,Normal
1619932200165,172.82.240.244,163.93.166.237,53207,1900,0,Normal
1619932200165,85.50.255.115,133.227.129.152,54630,445,0,Normal
1619932200099,139.160.61.89,203.5.180.204,53498,22,0,Normal
1619932200166,146.72.239.203,133.52.238.211,1901,1900,0,Normal
1619932200166,23.65.108.242,133.52.84.219,33574,3478,0,Normal
1619932200166,192.249.218.19,163.93.102.1,44016,5632,0,Normal
1619932200166,191.137.134.76,203.5.173.194,39114,944,0,Normal
1619932200166,193.34.141.194,133.227.47.209,50813,5200,0,Normal
1619932200167,203.76.174.86,203.5.187.172,50839,703,0,Normal
1619932200167,199.141.13.41,203.5.217.118,53402,962,0,Normal
1619932200168,81.86.14.186,133.52.12.208,8082,6881,0,Normal
1619932200168,192.249.218.19,163.93.242.105,45964,5632,0,Normal
1619932200169,159.116.206.100,163.93.101.48,8080,33863,0,Normal
1619932200169,103.168.206.27,202.7.182.18,13381,356,0,Normal
1619932200169,2.48.62.174,133.52.67.142,24821,23,0,Normal
1619932200170,159.181.75.101,163.93.209.167,60218,27015,0,Normal
1619932200170,147.42.2.107,133.52.67.168,49686,123,0,Normal
1619932200170,103.214.238.241,202.134.194.106,61600,445,0,Normal
1619932200171,146.72.239.203,163.93.53.156,1901,1900,0,Normal
1619932200171,103.171.90.237,133.227.167.135,54241,445,0,Normal
1619932200171,5.23.106.27,202.7.182.229,13166,343,0,Normal
1619932200171,101.40.41.37,202.134.196.106,18299,8090,0,Normal
1619932200171,133.245.77.227,51.194.41.108,1194,61133,0,Normal
1619932200171,49.210.32.207,202.134.217.184,52784,23,0,Normal
1619932200171,211.223.145.204,203.5.167.35,15805,22,0,Normal
1619932200171,146.72.239.203,203.5.165.18,1901,1900,0,Normal
1619932200171,61.244.97.76,133.52.202.238,47601,23,0,Normal
1619932200172,36.10.41.11,163.93.88.144,55643,53,0,Normal
1619932200172,179.77.15.43,203.5.129.229,51509,445,0,Normal
1619932200172,64.109.1.244,202.7.182.75,28161,47,0,Normal
1619932200172,23.65.108.242,163.93.118.106,36803,3478,0,Normal
1619932200172,146.72.239.203,133.227.148.202,1901,1900,0,Normal
1619932200172,146.72.239.203,133.227.174.45,1901,1900,0,Normal
1619932200173,2.30.112.230,163.93.199.164,17621,23,0,Normal
1619932200173,58.121.42.42,133.52.33.176,54521,7574,0,Normal
1619932200173,187.64.69.120,203.5.182.203,27097,53,0,Normal
1619932200174,61.72.233.100,203.5.157.136,56752,1433,0,Normal
1619932200174,146.72.239.203,133.52.242.143,1901,1900,0,Normal
1619932200174,203.5.187.183,5.240.210.120,80,63586,0,Normal
1619932200174,139.4.203.74,202.25.82.88,53566,13689,0,Normal
1619932200175,139.4.203.74,202.25.85.12,53254,13689,0,Normal
1619932200175,139.4.203.74,202.25.83.210,39088,13689,0,Normal
1619932200176,139.4.203.74,202.25.83.50,45768,13689,0,Normal
1619932200176,146.72.239.203,203.5.136.157,1901,1900,0,Normal
1619932200176,23.65.108.242,163.93.89.229,58491,3478,0,Normal
1619932200176,139.4.203.74,202.25.82.185,34830,13689,0,Normal
1619932200177,189.180.3.6,133.227.29.186,45735,23,0,Normal
1619932200177,139.4.203.74,202.25.85.57,46486,13689,0,Normal
1619932200177,94.80.26.144,133.52.121.176,38145,23,0,Normal
1619932200177,139.4.203.74,202.25.85.113,55168,13689,0,Normal
1619932200178,139.4.203.74,202.25.82.177,57218,13689,0,Normal
1619932200178,14.197.9.68,163.93.22.9,32249,23,0,Normal
1619932200179,139.4.203.74,202.25.83.91,58064,13689,0,Normal
1619932200179,123.223.222.154,202.25.85.110,54126,8984,0,Normal
1619932200180,192.249.218.19,163.93.133.136,33090,5632,0,Normal
1619932200180,93.78.34.104,202.7.182.86,56420,445,0,Normal
1619932200180,106.105.36.7,163.93.10.121,61115,23,0,Normal
1619932200181,111.60.240.95,133.227.158.202,14609,50356,0,Normal
1619932200181,103.30.35.97,133.52.197.45,34795,821,0,Normal
1619932200181,192.249.218.19,163.93.162.200,44745,5632,0,Normal
1619932200183,146.72.239.203,163.93.241.175,1901,1900,0,Normal
1619932200184,110.25.95.91,133.227.156.53,1138,50348,0,Normal
1619932200177,203.88.217.56,203.5.184.102,36672,53,0,Normal
1619932200185,178.184.165.95,133.227.11.66,18201,80,0,Normal
1619932200186,146.72.239.203,163.93.60.167,1901,1900,0,Normal
1619932200186,203.119.176.72,202.134.251.7,44930,5555,0,Normal
1619932200186,24.11.148.43,133.227.180.111,44107,1007,0,Normal
